File,Class
1_1.mat,0.00000000
1_2.mat,0.00000000
1_3.mat,0.00000012
1_4.mat,0.00000000
1_5.mat,0.00000000
1_6.mat,0.00238262
1_7.mat,0.31828654
1_8.mat,0.00000000
1_9.mat,0.00000000
1_10.mat,0.00000392
1_11.mat,0.00000020
1_12.mat,0.00000000
1_13.mat,0.10662324
1_14.mat,0.64515543
1_15.mat,0.00000917
1_16.mat,0.00000000
1_17.mat,0.00000000
1_18.mat,0.00000000
1_19.mat,0.00005666
1_20.mat,0.00497458
1_21.mat,0.03358389
1_22.mat,0.00000008
1_23.mat,0.00000000
1_24.mat,0.00000000
1_25.mat,0.00171552
1_26.mat,0.00003464
1_27.mat,0.00000111
1_28.mat,0.00000006
1_29.mat,0.00000000
1_30.mat,0.00000369
1_31.mat,0.00774824
1_32.mat,0.00008309
1_33.mat,0.00000463
1_34.mat,0.00000000
1_35.mat,0.00000000
1_36.mat,0.00000000
1_37.mat,0.00146623
1_38.mat,0.00000646
1_39.mat,0.00006304
1_40.mat,0.00000043
1_41.mat,0.00757228
1_42.mat,0.00000002
1_43.mat,0.00000000
1_44.mat,0.00008391
1_45.mat,0.01286628
1_46.mat,0.02054604
1_47.mat,0.00000005
1_48.mat,0.00168907
1_49.mat,0.00312829
1_50.mat,0.03100400
1_51.mat,0.00023794
1_52.mat,0.00000000
1_53.mat,0.00000000
1_54.mat,0.00000001
1_55.mat,0.00635423
1_56.mat,0.00000000
1_57.mat,0.00000607
1_58.mat,0.00000013
1_59.mat,0.00000000
1_60.mat,0.00000050
1_61.mat,0.00012790
1_62.mat,0.00000652
1_63.mat,0.00069029
1_64.mat,0.00000284
1_65.mat,0.00000000
1_66.mat,0.60806352
1_67.mat,0.00000001
1_68.mat,0.00345349
1_69.mat,0.00000000
1_70.mat,0.00000000
1_71.mat,0.00000050
1_72.mat,0.00006682
1_73.mat,0.00201514
1_74.mat,0.00000000
1_75.mat,0.00000347
1_76.mat,0.11625870
1_77.mat,0.00000000
1_78.mat,0.00000000
1_79.mat,0.00002844
1_80.mat,0.00000000
1_81.mat,0.00034371
1_82.mat,0.00169109
1_83.mat,0.79980105
1_84.mat,0.00624563
1_85.mat,0.00002099
1_86.mat,0.00033614
1_87.mat,0.00160822
1_88.mat,0.00000028
1_89.mat,0.00001118
1_90.mat,0.08183609
1_91.mat,0.00001793
1_92.mat,0.00000000
1_93.mat,0.00056870
