File,Class
1_1.mat,0.08977130
1_10.mat,0.09147511
1_100.mat,0.09903964
1_1000.mat,0.05648551
1_1001.mat,0.11608821
1_1002.mat,0.04002006
1_1003.mat,0.20826362
1_1004.mat,0.09663975
1_1005.mat,0.12445923
1_1006.mat,0.02949467
1_1007.mat,0.04265243
1_1008.mat,0.04754175
1_1009.mat,0.18173257
1_101.mat,0.16763811
1_1010.mat,0.24113010
1_1011.mat,0.20951687
1_1012.mat,0.17157832
1_1013.mat,0.03876113
1_1014.mat,0.05688096
1_1015.mat,0.23539972
1_1016.mat,0.05776839
1_1017.mat,0.19176924
1_1018.mat,0.18193066
1_1019.mat,0.04520704
1_102.mat,0.11867011
1_1020.mat,0.19867882
1_1021.mat,0.24060291
1_1022.mat,0.23963727
1_1023.mat,0.21512286
1_1024.mat,0.10296496
1_1025.mat,0.20018865
1_1026.mat,0.10280174
1_1027.mat,0.18548009
1_1028.mat,0.20460398
1_1029.mat,0.16546762
1_103.mat,0.11300443
1_1030.mat,0.03993186
1_1031.mat,0.08065469
1_1032.mat,0.11574692
1_1033.mat,0.13428643
1_1034.mat,0.18625689
1_1035.mat,0.06603700
1_1036.mat,0.21967089
1_1037.mat,0.18172316
1_1038.mat,0.23532213
1_1039.mat,0.16577317
1_104.mat,0.23788688
1_1040.mat,0.03990168
1_1041.mat,0.13128480
1_1042.mat,0.10355838
1_1043.mat,0.17720263
1_1044.mat,0.08066761
1_1045.mat,0.20896551
1_1046.mat,0.19937064
1_1047.mat,0.23235635
1_1048.mat,0.02924796
1_1049.mat,0.22364715
1_105.mat,0.07149985
1_1050.mat,0.11290426
1_1051.mat,0.09017906
1_1052.mat,0.16352531
1_1053.mat,0.03231597
1_1054.mat,0.21244122
1_1055.mat,0.08769281
1_1056.mat,0.07597817
1_1057.mat,0.13252085
1_1058.mat,0.08130569
1_1059.mat,0.21847504
1_106.mat,0.12205947
1_1060.mat,0.15389748
1_1061.mat,0.12561575
1_1062.mat,0.14031084
1_1063.mat,0.05435996
1_1064.mat,0.04113022
1_1065.mat,0.02372516
1_1066.mat,0.21006085
1_1067.mat,0.09291427
1_1068.mat,0.17197059
1_1069.mat,0.18647246
1_107.mat,0.21499045
1_1070.mat,0.18735351
1_1071.mat,0.08257817
1_1072.mat,0.08461498
1_1073.mat,0.21490626
1_1074.mat,0.05006077
1_1075.mat,0.06730065
1_1076.mat,0.20185173
1_1077.mat,0.07016812
1_1078.mat,0.17169662
1_1079.mat,0.10526163
1_108.mat,0.19365734
1_1080.mat,0.20036493
1_1081.mat,0.16044326
1_1082.mat,0.08052718
1_1083.mat,0.16324520
1_1084.mat,0.21410157
1_1085.mat,0.07606345
1_1086.mat,0.23984882
1_1087.mat,0.08967081
1_1088.mat,0.13849239
1_1089.mat,0.06971736
1_109.mat,0.21273997
1_1090.mat,0.12144246
1_1091.mat,0.13948996
1_1092.mat,0.11616337
1_1093.mat,0.09056857
1_1094.mat,0.18583977
1_1095.mat,0.05731089
1_1096.mat,0.04554242
1_1097.mat,0.23300968
1_1098.mat,0.06935272
1_1099.mat,0.06652061
1_11.mat,0.24925788
1_110.mat,0.18548009
1_1100.mat,0.21529156
1_1101.mat,0.06807280
1_1102.mat,0.07929241
1_1103.mat,0.04370529
1_1104.mat,0.17900003
1_1105.mat,0.21632998
1_1106.mat,0.09002066
1_1107.mat,0.06952696
1_1108.mat,0.10523747
1_1109.mat,0.00793866
1_111.mat,0.17809770
1_1110.mat,0.22512664
1_1111.mat,0.21661948
1_1112.mat,0.10201974
1_1113.mat,0.19659352
1_1114.mat,0.18939041
1_1115.mat,0.19664329
1_1116.mat,0.14753488
1_1117.mat,0.05643930
1_1118.mat,0.25270596
1_1119.mat,0.10068209
1_112.mat,0.08313348
1_1120.mat,0.18548009
1_1121.mat,0.02910343
1_1122.mat,0.01272419
1_1123.mat,0.23514690
1_1124.mat,0.09492305
1_1125.mat,0.05542145
1_1126.mat,0.11737050
1_1127.mat,0.22277631
1_1128.mat,0.19778520
1_1129.mat,0.21475367
1_113.mat,0.07942283
1_1130.mat,0.11763725
1_1131.mat,0.25350428
1_1132.mat,0.03723767
1_1133.mat,0.22558604
1_1134.mat,0.11606239
1_1135.mat,0.23729138
1_1136.mat,0.34339219
1_1137.mat,0.10096900
1_1138.mat,0.16770756
1_1139.mat,0.18548009
1_114.mat,0.05344655
1_1140.mat,0.16764103
1_1141.mat,0.23789392
