File,Class
1_1.mat,0.07112527
1_2.mat,0.07113573
1_3.mat,0.07112606
1_4.mat,0.07112569
1_5.mat,0.07112695
1_6.mat,0.07116568
1_7.mat,0.07113823
1_8.mat,0.07113067
1_9.mat,0.07113215
1_10.mat,0.07113663
1_11.mat,0.07116099
1_12.mat,0.07112951
1_13.mat,0.07114922
1_14.mat,0.07114614
1_15.mat,0.07112547
1_16.mat,0.07113125
1_17.mat,0.07112532
1_18.mat,0.07113483
1_19.mat,0.07113831
1_20.mat,0.07114483
1_21.mat,0.07114143
1_22.mat,0.07112261
1_23.mat,0.07117161
1_24.mat,0.07113006
1_25.mat,0.07113978
1_26.mat,0.07114006
1_27.mat,0.07113228
1_28.mat,0.07113134
1_29.mat,0.07116282
1_30.mat,0.07113873
1_31.mat,0.07113732
1_32.mat,0.07116367
1_33.mat,0.07114469
1_34.mat,0.07113700
1_35.mat,0.07112613
1_36.mat,0.07112885
1_37.mat,0.07114185
1_38.mat,0.07112658
1_39.mat,0.07114013
1_40.mat,0.07113622
1_41.mat,0.07113501
1_42.mat,0.07113283
1_43.mat,0.07113054
1_44.mat,0.07113628
1_45.mat,0.07113669
1_46.mat,0.07114510
1_47.mat,0.07112830
1_48.mat,0.07114857
1_49.mat,0.07113245
1_50.mat,0.07113120
1_51.mat,0.07117459
1_52.mat,0.07113123
1_53.mat,0.07113015
1_54.mat,0.07113288
1_55.mat,0.07114558
1_56.mat,0.07113061
1_57.mat,0.07114921
1_58.mat,0.07113305
1_59.mat,0.07112551
1_60.mat,0.07113232
1_61.mat,0.07116979
1_62.mat,0.07113478
1_63.mat,0.07117850
1_64.mat,0.07113160
1_65.mat,0.07112638
1_66.mat,0.07114270
1_67.mat,0.07112529
1_68.mat,0.07114143
1_69.mat,0.07112750
1_70.mat,0.07112772
1_71.mat,0.07117061
1_72.mat,0.07116370
1_73.mat,0.07115352
1_74.mat,0.07113751
1_75.mat,0.07113265
1_76.mat,0.07117106
1_77.mat,0.07112432
1_78.mat,0.07112437
1_79.mat,0.07113512
1_80.mat,0.07113279
1_81.mat,0.07114104
1_82.mat,0.07113644
1_83.mat,0.07113641
1_84.mat,0.07115301
1_85.mat,0.07112988
1_86.mat,0.07120267
1_87.mat,0.07113817
1_88.mat,0.07114448
1_89.mat,0.07116310
1_90.mat,0.07114519
1_91.mat,0.07113883
1_92.mat,0.07112359
1_93.mat,0.07113364
1_94.mat,0.07114138
1_95.mat,0.07114451
1_96.mat,0.07112961
1_97.mat,0.07159423
1_98.mat,0.07112853
1_99.mat,0.07112286
1_100.mat,0.07113898
1_101.mat,0.07114100
1_102.mat,0.07113248
1_103.mat,0.07113332
1_104.mat,0.07115816
1_105.mat,0.07114065
1_106.mat,0.07113695
1_107.mat,0.07116452
1_108.mat,0.07117161
1_109.mat,0.07117672
1_110.mat,0.07159423
1_111.mat,0.07113495
1_112.mat,0.07113291
1_113.mat,0.07112588
1_114.mat,0.07112458
1_115.mat,0.07115833
1_116.mat,0.07117325
1_117.mat,0.07113369
1_118.mat,0.07116599
1_119.mat,0.07112277
1_120.mat,0.07116205
1_121.mat,0.07112683
1_122.mat,0.07112919
1_123.mat,0.07116028
1_124.mat,0.07115458
1_125.mat,0.07112343
1_126.mat,0.07116196
1_127.mat,0.07114262
1_128.mat,0.07112885
1_129.mat,0.07113207
1_130.mat,0.07115051
1_131.mat,0.07114486
1_132.mat,0.07159423
1_133.mat,0.07112563
